[10/Jul/2026:12:18:41 +0000] - 302 302 - GET http pihole.local "/admin/" [Client 192.168.65.1] [Length 0] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "-"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/login" [Client 192.168.65.1] [Length 3182] [Gzip 3.30] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "-"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/img/favicons/manifest.json" [Client 192.168.65.1] [Length 452] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/bootstrap/css/bootstrap.min.css?v=1783415778" [Client 192.168.65.1] [Length 121457] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/font-awesome/css/all.min.css?v=1783415778" [Client 192.168.65.1] [Length 73890] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/adminLTE/AdminLTE.min.css?v=1783415778" [Client 192.168.65.1] [Length 106547] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/style/pi-hole.css?v=1783415778" [Client 192.168.65.1] [Length 33336] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/style/themes/default-light.css?v=1783415778" [Client 192.168.65.1] [Length 6326] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/jquery/jquery.min.js?v=1783415778" [Client 192.168.65.1] [Length 87533] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/bootstrap/js/bootstrap.min.js?v=1783415778" [Client 192.168.65.1] [Length 39680] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/adminLTE/adminlte.min.js?v=1783415778" [Client 192.168.65.1] [Length 13611] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/nprogress/nprogress.min.js?v=1783415778" [Client 192.168.65.1] [Length 7445] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/scripts/js/utils.js?v=1783415778" [Client 192.168.65.1] [Length 24673] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/scripts/js/footer.js?v=1783415778" [Client 192.168.65.1] [Length 24269] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/scripts/js/login.js?v=1783415778" [Client 192.168.65.1] [Length 6400] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/fonts/source-sans-pro/source-sans-pro.css?v=1783415778" [Client 192.168.65.1] [Length 3516] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
