[13/Jul/2026:11:25:27 +0000] - 200 200 - GET http portainer.local "/" [Client 172.18.0.1] [Length 14202] [Gzip -] [Sent-to local-portainer] "curl/8.6.0" "-"
[13/Jul/2026:11:28:32 +0000] - 200 200 - GET http portainer.local "/" [Client 172.18.0.1] [Length 4806] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "-"
[13/Jul/2026:11:28:32 +0000] - 200 200 - GET http portainer.local "/runtime.2be226186de831a07eac.js" [Client 172.18.0.1] [Length 2127] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:32 +0000] - 200 200 - GET http portainer.local "/vendor.5912aaf498ef1cf92d1e.css" [Client 172.18.0.1] [Length 147372] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:32 +0000] - 200 200 - GET http portainer.local "/main.1a8779f936ef144f7430.css" [Client 172.18.0.1] [Length 561044] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:32 +0000] - 200 200 - GET http portainer.local "/main.988cdcb1002431f74d4b.js" [Client 172.18.0.1] [Length 1031467] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:33 +0000] - 200 200 - GET http portainer.local "/vendor.2a86bee6aff3cb2aaef4.js" [Client 172.18.0.1] [Length 1402600] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:33 +0000] - 200 200 - GET http portainer.local "/933.734458950fabeaa7302d.js" [Client 172.18.0.1] [Length 3266] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:33 +0000] - 200 200 - GET http portainer.local "/572.3d10cb1ff863ec496d85.js" [Client 172.18.0.1] [Length 3294] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:33 +0000] - 200 200 - GET http portainer.local "/701.5785ffe50e4ebe4cc192.js" [Client 172.18.0.1] [Length 19067] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:33 +0000] - 404 404 - GET http portainer.local "/locales/es-ES/translation.json" [Client 172.18.0.1] [Length 19] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
[13/Jul/2026:11:28:33 +0000] - 404 404 - GET http portainer.local "/locales/es/translation.json" [Client 172.18.0.1] [Length 19] [Gzip -] [Sent-to local-portainer] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://portainer.local/"
